"GSM380517"	"GSM380518"	"GSM380519"	"GSM380520"
"ABHD14A-ACY1 /// ACY1"	6.98166560730154	5.96665330060456	6.04647115645628	7.04864096833411
"ABHD14A /// ACY1"	6.51659395157026	6.52293514122786	6.2997359757302	6.28468709439478
"ABHD17A"	8.61406547546562	7.963596015918	7.39592966267936	6.6801260747292
"ABHD17B"	4.80661139229003	5.32115964723326	5.5418710023304	5.5011670769945
"ABHD2"	5.28807941059405	5.74693602181948	5.26607283817228	5.64931541071619
"ABHD3"	7.51959904539855	8.26551722002118	7.4402321188291	7.3269370698208
"ABHD4"	8.00261183897392	7.99595343464855	7.51584645648427	7.98873694178548
"ABHD5"	5.02191967084114	5.46293932921035	4.77142438412223	5.21280795230973
"ABHD6"	4.2225642537114	4.37444866682304	4.35377213590434	4.71639041589264
"ABHD8"	4.40490107825858	4.6028954888591	4.91132384317658	5.28313795655701
"ABI1"	7.44990159362097	7.71797948003796	6.98966074976064	6.61143966150625
"ABI2"	6.80049242854759	6.68646624557546	6.90690428639508	6.75675545360973
"ABI3BP"	3.876377060778	3.59375866637053	3.93436400004196	4.59079436569845
"ABL1"	7.27677536858626	8.89983795801625	7.53205254266086	7.41483474553964
"ABL2"	4.80871671959566	5.03428631818315	5.2089178590269	5.58850895554144
"ABLIM1"	7.05274998143035	6.75802844763274	5.54891732795712	6.34643337431582
"ABLIM3"	5.35918364570829	4.97130219689999	4.64476717511628	5.23494883306695
"ABO"	4.69618722485458	4.66944343822827	4.62516269588104	5.14678002387096
"abParts /// IGKC /// IGKV4-1 /// IGKV4-1"	5.05326936499388	7.7256825835229	8.49329730875982	5.37886682570054
"ABR"	5.92896787844201	6.41560617473358	6.21223760471842	6.22568586015446
"ABT1"	7.97456300101194	7.20340975171369	7.09680446967228	6.59567348727932
"ABTB2"	5.83197788179463	7.34734211599032	6.6086351775426	6.7533744925348
"AC002310.7 /// ZNF785"	4.35639175358064	4.63407528922066	4.727252859116	5.26622527338442
"AC003989.4"	4.57942397150665	4.31443482941649	4.77874535089087	5.24487834320492
"AC004490.1 /// AX746733"	4.10662701529552	4.13656886023465	4.11255719930714	4.1612842756331
"AC004692.5"	6.52960462926923	6.6431060951571	6.80108644348919	6.62757131803976
"AC004941.5"	8.0275164401537	8.12386401008558	7.8665027316876	6.2037291881116
"AC005838.2"	4.20998292783829	4.16312727577037	4.59045807836612	5.37214950919181
"AC007292.3"	5.66677162458134	5.19587515669187	5.63865956426889	6.02979554967522
"AC007389.3"	5.85080286229713	6.5798463639262	6.28718312355762	7.43409348677016
"AC007967.3 /// RBMY2TP /// RBMY2TP"	6.002425815811	6.13489377487713	6.70865301058295	7.42952235869397
"AC009237.8 /// AK055967"	6.73448449635441	5.67130523440996	5.89547747322326	6.10739077776086
