"GSM3478634"	"GSM3478635"	"GSM3478636"	"GSM3478637"	"GSM3478638"	"GSM3478639"	"GSM3478640"	"GSM3478641"	"GSM3478642"	"GSM3478643"	"GSM3478644"	"GSM3478645"
"ABHD11"	6.052077	5.994321	5.95139433333333	6.18878733333333	6.07316433333333	6.14086433333333	5.81111433333333	5.73389833333333	5.85045166666667	5.84560266666667	5.94065066666667	5.99316566666667
"ABHD12"	8.631197	8.39386833333333	8.413254	7.80884933333333	7.79986066666667	7.722138	7.81123666666667	7.84950966666667	7.87415166666667	8.455155	8.355557	8.43438533333333
"ABHD12B /// MIR4454"	2.220778	2.119449	2.0942885	2.2155315	2.014865	2.098579	2.156338	2.0721295	2.253751	2.065121	2.1014855	2.3322295
"ABHD13"	6.379103	6.847549	6.5450715	6.644141	6.8654795	6.7486985	5.6481595	5.6152735	5.605144	6.692723	6.6518425	6.654694
"ABHD14A-ACY1 /// ACY1"	7.637257	7.104687	7.335826	7.626036	7.60889	7.476219	6.333333	6.211669	6.35609	5.081412	4.843061	4.70751
"ABHD14A /// ACY1"	8.542253	8.285022	8.341649	8.62463	8.548134	8.580331	8.356751	8.481036	8.484543	7.130318	7.288422	7.231248
"ABHD14B"	8.367699	8.035308	8.039621	7.936823	7.901736	7.895147	6.699699	6.683745	6.819161	6.273722	6.360911	6.302073
"ABHD15"	5.713943	5.427772	5.423078	5.253488	5.226034	5.345992	6.272235	6.246904	6.222034	5.614069	5.633965	5.604928
"ABHD16A"	6.6951155	6.3678535	6.4441645	6.694355	6.500637	6.403246	5.240669	5.427863	5.382111	5.855371	5.938892	5.9914595
"ABHD16B"	3.750264	3.781578	3.772122	3.678451	3.65628	4.024585	3.18278	3.192752	3.110623	3.042334	3.007798	3.134352
"ABHD17A"	9.614493	9.211777	9.278544	9.331451	9.399302	9.24103	9.120756	9.229921	9.164558	9.118475	9.146564	9.137726
"ABHD17B"	5.67898733333333	5.85428366666667	5.854435	6.29024133333333	6.23809833333333	6.323602	6.56832933333333	6.505933	6.42701266666667	6.77754066666667	6.75309133333333	6.752498
"ABHD17C"	7.498886	7.229334	7.20898	6.223844	6.236073	6.000256	8.029724	7.967296	8.072001	7.804778	7.723844	7.841652
"ABHD2"	6.14194933333333	6.11808433333333	6.11270466666667	5.876534	5.92626533333333	5.871101	7.109524	7.13824183333333	7.20705233333333	5.84966783333333	5.764723	5.82939233333333
"ABHD3"	8.25392	8.454186	8.517065	8.545137	8.784475	8.896132	8.09592	8.110807	8.091528	9.762826	9.836427	9.769807
"ABHD4"	6.5821305	6.802572	6.9667775	6.308068	6.1839705	6.309177	8.3697395	8.321978	8.258979	5.844334	5.920962	5.5712505
"ABHD5"	5.5560165	5.60915025	5.5336965	5.442799	5.57682575	5.322044	6.333676	6.2942	6.2948475	6.28908625	6.3395095	6.30357675
"ABHD6"	5.94962425	5.84847325	5.92254975	5.74464575	5.624421	5.66292325	5.69098275	5.6921505	5.729121	7.099848	6.97444325	7.09229275
"ABHD8"	5.938671	5.528456	5.931797	5.475504	5.570324	4.987047	5.886156	5.907455	6.060421	6.082479	6.092104	6.09518
"ABI1"	6.34050033333333	6.63961133333333	6.42142633333333	6.29263433333333	6.28080966666667	6.35325366666667	6.605214	6.715368	6.54739766666667	6.40449	6.42076233333333	6.415394
"ABI2"	7.07052114285714	6.93508771428571	6.84302328571429	6.74339257142857	6.75418628571429	6.79738871428571	7.32228714285714	7.33101957142857	7.31791914285714	7.44841485714286	7.52132057142857	7.45785257142857
"ABI2 /// RP11-363J17.1"	3.555746	4.31671	3.965155	4.017003	4.279185	4.304558	5.217305	5.080779	5.314238	4.906355	4.792759	4.949916
"ABI3"	4.807395	5.029817	5.209936	5.15465	5.147963	5.160868	5.11127	4.967295	4.927187	5.220426	5.069771	4.944637
"ABI3BP"	3.95079166666667	4.04162233333333	4.003492	2.555907	2.57691666666667	2.55886933333333	5.58211933333333	5.41659433333333	5.42830366666667	2.54386766666667	2.79837966666667	2.59335766666667
"ABL1"	8.497223	8.273357	8.338913	8.024072	7.914734	7.939088	9.886601	9.940222	9.918682	8.961357	8.95098	8.998563
"ABL2"	7.16664933333333	6.84907433333333	6.87955366666667	6.72260066666667	6.66673933333333	6.694322	7.949008	8.04604233333333	8.073268	6.98456466666667	6.97755166666667	7.006627
"ABLIM1"	7.953398	7.704862	7.8405245	7.9159645	7.9621615	7.8408565	6.959169	7.05487	7.1307925	7.9036755	7.9466095	7.914727
"ABLIM2"	4.5309644	4.5685132	4.6942952	4.6963678	4.7585028	4.7668188	4.468078	4.4775088	4.5595824	5.271306	5.4393448	5.3581506
"ABLIM3"	4.814691	4.582192	4.51027	4.625488	4.466647	4.3844	3.917709	4.251764	4.333749	3.789312	3.61285	3.624727
"ABO"	3.5172135	4.317683	4.2886675	4.384696	4.4095225	4.539882	4.9635855	5.1140365	4.706425	4.911105	4.9901375	5.2014075
"abParts /// IGKC /// IGKV4-1 /// IGKV4-1"	4.297626	3.903516	4.156261	4.221019	3.871405	4.265332	3.989124	3.985869	3.765944	3.83555	3.836605	4.051508
